Length,Elapsed Time,L1 Cache miss,L2 Cache miss,L3 Cache miss,Num of instructions
76032,20.738001,72698,77244,340,175272120
76160,20.625002,72880,75257,307,175521612
76288,20.784000,73222,77002,297,175915597
76416,20.721001,73416,72885,313,176197658
76544,20.745001,73036,70178,249,176472502
76672,20.731001,73732,73485,352,176702813
76800,20.820002,73880,67769,311,176989971
76928,20.959002,73826,72935,732,177328470
77056,21.058001,74482,72814,406,177566494
77184,21.007002,73992,74192,257,177850786
77312,20.993002,74257,69602,188,178106620
77440,20.984001,74396,70440,301,178473265
77568,21.052002,74458,76782,252,178779470
77696,21.132002,74977,75972,279,179124457
77824,21.036001,74815,71775,339,179541515
77952,20.970001,75899,73858,489,179909580
78080,21.030001,75520,73713,375,180172762
78208,21.041000,75569,74169,249,180520192
78336,21.359001,75461,77463,322,180871126
78464,21.108002,76370,77005,283,181156787
78592,21.243002,76277,75069,358,181529108
78720,21.266001,76254,79524,202,181712232
78848,21.352001,76737,74313,334,182202240
78976,21.281982,76516,76161,280,182453140
79104,21.476002,76900,79672,405,182836664
79232,21.357000,76875,79199,401,183125017
79360,21.471001,77208,78744,308,183576325
79488,21.586000,77062,77331,375,183801625
79616,21.438002,77319,82674,223,184133467
79744,21.714001,77663,78262,418,184355575
79872,21.650002,77839,83055,273,184830952
80000,21.698002,78180,76986,435,185095773
80128,21.696001,78058,81491,326,185365050
80256,21.783001,77958,79713,316,185680210
80384,21.709002,78203,82857,394,186026060
80512,21.910002,78143,78792,427,186396207
80640,21.797001,78862,80897,374,186671164
80768,21.851002,78962,82313,417,186942403
80896,22.114000,79116,79189,526,187265336
81024,21.978001,79610,80124,298,187575596
81152,22.172001,78934,79557,446,187914305
81280,22.102001,79055,83230,377,188168842
81408,22.175001,79234,83683,416,188495078
81536,22.188002,79712,83396,298,188894285
81664,22.245001,79654,82642,406,189227584
81792,22.267944,79405,81332,215,189495745
81920,22.422001,80132,84322,233,190011317
82048,22.382002,80902,85978,369,190321827
82176,22.434002,80462,83622,377,190717721
82304,22.582001,80775,84359,270,191076866
82432,22.570002,81171,83564,371,191621133
82560,22.592001,81029,87150,439,191894756
82688,22.577002,80705,90459,495,192157387
82816,22.579000,82050,83868,344,192372236
82944,22.657001,81890,84092,407,192882071
83072,22.792002,81707,86940,430,193195468
83200,22.737001,82317,92287,371,193492138
83328,22.826000,82854,86647,414,193904544
83456,22.787001,82711,87197,257,194233039
83584,22.870001,83222,86355,347,194631565
83712,22.903002,82650,88328,403,195071555
83840,23.000002,82878,85444,458,195410169
83968,22.983002,82521,94060,439,195924187
84096,23.140001,83396,86969,497,196211487
